id,text,label
19,"TƯƠNG LAI ĐẢNG CON LỪA SẼ BỊ XÓA SỔ - ĐIỀU MÀ 44 VỊ TỔNG THỐNG TRƯỚC TRUMP KHÔNG LÀM ĐƯỢC 😍

 Ngày 24/6/2020Tình hình Mỹ tối nay yên tĩnh. TT Trump đã ra lệnh đem vệ binh quốc gia đến giữ các công viên ở Washington DC. Anh nào giật sập tượng đài sẽ nằm hộp, đi tù 10 năm. >> Biểu tình chỉ còn lẻ tẻ vài người.

 Bị dân chửi quá chịu không nổi, Chị thị trưởng Seattle ra lệnh cúp điện, nước Khu tự trị Seattle 😂 Chủ tịch khu tự trị khuyên thần dân ai về nhà nấy. Có người trong khu tự trị này đã không tắm trong 15 ngày vì trong ""cuốc gia"" này không có nhà tắm.

 Điểm lại tình hình trong một tháng biểu tình cho thấy phe Trump thắng lớn .
 - Các tiểu bang thiệt hại nhiều nhất đều của đảng dân chủ nắm quyền
 - Mở cửa đi làm lại nhưng phe dân chủ không còn dám tấn công chuyện tu tập đông người.
 - Sáu triệu rưỡi khẩu súng được bán ra, trong khi đảng dân chủ muốn cấm súng.
 - Xây dựng hàng rào biên giới dù đảng dân chủ chống đối trước đây nhưng nay không dám nhắc đến >> Ngay cả đài CNN cũng phải dựng hàng rào phòng thủ.
 - Thiệt hại nhiều nhất là các khu người Mỹ đen sống >> vì hầu hết các cửa hàng bị đập phá và không có hy vọng được xây lại. Chỉ riêng tiệm Target, đã tuyên bố đóng cửa 175 tiệm trên toàn nước Mỹ, trong đó có 71 tiệm thuộc bang Minnesotta (dân chủ)
 - Một số hã̉ng lớn trong thành phố Seattle (dân chủ) đang sửa soạn dời về Arizona.
 - Tesla ở Fremont (dân chủ) với khoảng 50 ngàn nhân công đang dự định dời về Texas.
 - Giá nhà trong thành phố San Francisco (dân chủ) rớt 15% vì thành phố đã giảm cảnh sát và ra lệnh không bắt người vì các tội tiểu hình.

 >> Sau WHO, Liên Hợp Quốc sắp bị giải thể do ủng hộ tổ chức khủng bố Antifa phá hoại nước Mỹ 😄

 Nguồn: Fb Lê Hoàng",fake_news
20,"Bạn đã được chọn để nhận khoản vay nhanh với lãi suất thấp. Đăng ký ngay tại http://vaynhanh36.vip.",scam
21,"Giám đốc WHO khen ""**Việc chỉnh sửa số liệu số người tử vong vì [**COVID-19**](<URL>) tại Trung Quốc hôm 17.4 là ""một nỗ lực thống kê đầy đủ"" của giới chức Vũ Hán""**

**Ôi. từ bao giờ WHO là cơ quan thuộc Trung Quốc thế?**

**<URL>**",legitimate
22,"Cảnh báo bảo mật: Tài khoản Citibank Vietnam của bạn có dấu hiệu bị xâm nhập. Xác thực ngay tại http://vcb60.info.",scam
23,"Thông báo: Bạn có một gói quà tặng từ TikTok. Nhận ngay tại http://vcb91.info.",scam
24,"Lịch thi môn Công nghệ phần mềm vào lúc 13h30 tại phòng A101.",legitimate
25,"Chúc mừng thuê bao quý khách đã trúng thưởng Voucher Now 200.000 VND. Truy cập http://verify98.xyz để nhận thưởng ngay.",scam
26,"Hệ thống phát hiện giao dịch lạ, vui lòng xác minh tài khoản Techcombank của bạn tại http://support30-secure.org để tránh bị khóa.",scam
27,"* Sẽ có thêm hai thùng xe nữa và rất hài lòng với các kệ",legitimate
28,"Hôm nay trời đẹp quá, đi cà phê không My ơi?",legitimate
29,"Haha tuyệt vời, ở đó trong một phút",legitimate
30,"Cảnh báo bảo mật: Tài khoản Nam A Bank của bạn có dấu hiệu bị xâm nhập. Xác thực ngay tại http://secure32.xyz để bảo vệ tài khoản của bạn.",scam
31,"(TB) Quy khach da hoa mang/dang ky/gia han goi cuoc/nap the VinaPhone va duoc nhan ma du thuong [NUMBER] tham gia CTKM ""30 nam phung su - Trieu qua Tri an"" mung Sinh nhat VinaPhone.",legitimate
32,"TUYỂN DỤNG UPS: Việc nhẹ lương cao, thu nhập 500k-1tr/ngày. IB Zalo 0971992146.",scam
33,"Được rồi, cho tôi 5 phút tôi nghĩ tôi gặp cô ấy.",legitimate
34,"Bạn đã được chọn để nhận khoản vay nhanh với lãi suất thấp. Đăng ký ngay tại http://vcb93-bank.net.",scam
35,"này có 1 trường hợp kết quả dương tính, còn 45 người có kết quả xét nghiệm âm tính, 15 người đang chờ kết quả xét nghiệm",fake_news
36,"Anthony Fauci, Giám đốc Viện dị ứng và bệnh truyền nhiễm quốc gia Mỹ cảnh báo Covid-19 có thể gây tử vong cao gấp 10 lần cúm mùa.

""Sẽ có nhiều trường hợp mắc bệnh và mọi thứ sẽ trở nên tồi tệ hơn so với hiện tại"", tiến sĩ Anthony Fauci, Giám đốc Viện Dị ứng và Bệnh Truyền nhiễm Quốc gia nói tại Ủy ban Cải cách và Giám sát Hạ viện Mỹ, ngày 11/3.

Ông cảnh báo tỷ lệ tử vong do Covid-19 cao ít nhất gấp 10 lần so với cúm theo mùa, ngay cả khi tỷ lệ tử vong giảm dưới mức ước tính hiện tại của Tổ chức Y tế Thế giới (WHO) là 3,4%. Fauci phân tích, tỷ lệ tử vong do cúm mùa là 0,1%. Ước tính ban đầu của WHO, tỷ lệ tử vong do Covid-19 là 2%. Nếu tính trên tổng số người có thể nhiễm bệnh nhưng chưa được chẩn đoán, tỷ lệ này còn 1%, vẫn cao gấp 10 lần so với cúm mùa.

Theo Fauci, sự bùng phát Covid-19 tại Mỹ tồi tệ đến mức nào tùy thuộc vào hai điều: dòng người nhiễm bệnh đến từ các quốc gia khác và khả năng khống chế dịch bệnh trong nước. Vaccine ngừa dịch Covid-19 phải gần một năm nữa mới có thể đưa vào sử dụng. Do đó, không thể đưa ra dự đoán về việc bao nhiêu người Mỹ có thể nhiễm nCoV. Con số này hoàn toàn phụ thuộc vào cách Mỹ đối phó với dịch bệnh như thế nào.

""Mỹ nên hạn chế sự lây lan Covid-19 từ nước ngoài và có các biện pháp ngăn chặn trong nước, bao gồm hạn chế các sự kiện tụ tập đông người. Nếu chủ quan và không kiểm soát dịch bệnh chặt chẽ, số người nhiễm bệnh có thể tăng lên đến hàng triệu"", tiến sĩ Fauci nhấn mạnh.

Tính đến ngày 12/3, Covid-19 xuất hiện ở hơn 123 quốc gia và vùng lãnh thổ, trên 126.000 ca bệnh, hơn 4.600 ca tử vong. Nếu các ca nhiễm mới nCoV hàng ngày đang giảm mạnh ở Trung Quốc thì lại bùng phát nhanh chóng tại các khu vực khác trên thế giới.

Italy hiện ghi nhận hơn 12.000 bệnh nhân, 827 người tử vong. Tại Iran, nCoV lây nhiễm hơn 9.000 người, làm 354 người tử vong. Mỹ ghi nhận hơn 1.200 ca, thủ đô Washington D.C và 23 bang đã tuyên bố tình trạng khẩn cấp. Tổ chức Y Tế Thế giới công bố ""Covid-19 là đại dịch"" và kêu gọi các nước quyết liệt đối phó.

Theo VN Express",legitimate
37,"Chúc mừng bạn đã trúng thưởng Voucher Be 100.000 VND từ chương trình khuyến mãi của chúng tôi. Nhấn vào http://secure80.info để nhận giải thưởng.",scam
38,"Chúc mừng thuê bao quý khách đã trúng thưởng Xe Vision. Truy cập http://vcb72-secure.org để nhận thưởng ngay.",scam
39,"Tổng đài VNPT thông báo: Đường truyền Internet cáp quang của hộ gia đình quý khách sẽ bị tạm ngừng cung cấp dịch vụ và thanh lý hợp đồng vào lúc 17h00 hôm nay do nợ cước kéo dài. Để khiếu nại hoặc kiểm tra lại lịch sử thanh toán, vui lòng liên hệ ngay bộ phận kế toán qua số điện thoại [NUMBER]",scam
40,"Hệ thống của chúng tôi phát hiện giao dịch đáng ngờ trên tài khoản GPBank của bạn. Vui lòng xác minh tại http://support86.club để tránh bị khóa.",scam
41,"SeABank: Bạn vừa nhận được 700.000 VND từ Vỹ. Số dư mới: 700.0000 VND.",legitimate
42,"Cuộc họp nhóm sẽ diễn ra vào lúc 10h tại phòng họp C194. Vui lòng đến đúng giờ.",legitimate
43,"Wat làm cho một số người thân yêu hơn không chỉ là hạnh phúc mà bạn cảm thấy khi bạn gặp họ mà là nỗi đau mà bạn cảm thấy khi bạn nhớ dem !!!",legitimate
44,"Cảnh báo bảo mật: Tài khoản TPBank của bạn có dấu hiệu bị xâm nhập. Xác thực ngay tại http://support87.cc để bảo vệ tài khoản của bạn.",scam
45,"Gọi cho Đức chỉ với 1 pence mỗi phút!",spam
46,"Mã OTP của bạn là 208753. Vui lòng không chia sẻ mã này với bất kỳ ai để bảo vệ tài khoản của bạn.",legitimate
47,"Bỏ sổ hộ khẩu, không quy định riêng điều kiện đăng ký thường trú ở Thủ đô",legitimate
48,"Techcombank: Quý khách vừa nhận được 3900.000 VND từ Phú. Số dư mới: 3900.0000 VND.",legitimate
49,"Tại Vinmart khoảng 6h tối qua, lúc mọi người đang tranh cướp mua hàng. Có 1 người phụ nữ trung niên cũng đang tranh cướp bỗng lăn ra ngất. Mọi người hoảng sợ chạy thoát thân.. 1 số rất ít người bình tĩnh ở lại.. đỡ cô ngồi dậy, nhưng phần lớn đám đông đã biến mất vì sợ Cô Nhiễm Corona 😒... Sau khoảng 2 phút cô đã tỉnh chở lại.. ng bán hàng hỏi cô có cần gọi cấp cứu ko ? Cô chỉ cười nhẹ và quay ra nói với 2 đứa con.. vắng rồi đấy, mua nhanh đi còn về! Thì ra... cô chẳng bị làm chó sao cả, chỉ là hơi đông nên.. cô làm vắng bớt cho dễ mua thôi... Nhiều khi... chỉ cần nghĩ 1 chút thôi.. sẽ chẳng phải chen chúc, xô đẩy gì nhiều đâu! 🙂 #Ps: Bài học rút ra: làm việc chăm chỉ chưa đủ, đôi khi cần phải dùng cái đầu 🚀🚀🚀 Xem thêm",fake_news
50,"Bạn đã được chọn để nhận khoản vay nhanh với lãi suất thấp. Đăng ký ngay tại http://tcb32.cc để được hỗ trợ nhanh chóng.",scam
51,"Đăng ký vay tiền nhanh trong ngày, duyệt hồ sơ 100%. Truy cập http://vaynhanh89.vip để biết thêm chi tiết và nhận khoản vay.",scam
52,"Mã OTP của bạn là 414126. Vui lòng không chia sẻ mã này cho bất kỳ ai.",legitimate
53,"Mã OTP của bạn là 288518. Vui lòng giữ bí mật mã này để bảo vệ tài khoản của bạn.",legitimate
54,"Tài khoản VCB của bạn bị tạm khóa. Vui lòng đăng nhập tại http://verify61-verify.com để xác thực.",scam
55,"Ok em yêu, anh cho rằng không sao đâu, tôi chỉ lo lắng quá nhiều. Tôi phải làm một số công cụ phim của mình và sau đó phải trông trẻ một lần nữa!",legitimate
56,"HDBank: Giao dịch chuyển khoản 4900.000 VND thành công. Số dư hiện tại: 4900.0000 VND.",legitimate
57,"Đơn hàng từ ZaloPay đã được xác nhận và sẽ được giao trong vòng 2-3 ngày làm việc.",legitimate
58,"MOVING QUICKLY AND DECISIVELY

Truyền hình nổi tiếng ABC của Úc –tương tự như BBC của Anh- đăng bài “How has Vietnam, a developing nation in South-East Asia, done so well to combat coronavirus?” (Làm cách nào Việt Nam, một nước đang phát triển ở ĐNÁ, đã làm chống dịch tốt như vậy?)

Úc dõi theo Singapore bé nhỏ nhưng Singapore là một trong những thất bại lớn nhất bây giờ. Việt Nam không bị như thế. Đó là thành tựu đáng nể đối với một quốc gia lớn như vậy.

Chìa khóa là Việt Nam đã hành động nhanh và quyết liệt.

Đặc biệt, chính phủ làm tốt công tác thông tin truyền thông với những thông điệp sáng tạo truyền tải tới người dân.",legitimate
59,"Đăng ký vay tiền nhanh trong ngày, duyệt hồ sơ 100%. Truy cập http://vaynhanh79-verify.com để biết thêm chi tiết.",scam
60,"THÔNG TIN VỀ CA NHIỄM COVID- 19  BN 39, nam, 29 tuổi, đã được xác định dương tính với SARS-CoV-2  Hướng dẫn viên du lịch công ty Amazing Ninh Bình - Địa chỉ: Cầu Giấy, Dịch Vọng, Cầu Giấy, Hà Nội... - Triệu chứng: Sốt nhẹ (37,6oC), không ho, không khó thở BN 39 đã hướng dẫn cho đoàn du khách Anh đi trên chuyến bay VN0054, đã được phát hiện dương tính tại Quảng Ninh. Ngày 8.3, biết du khách mình dẫn bị dương tính, anh đã tự đi xe máy đến Bệnh viện Xanh-pôn khám và đã được vào Bệnh viện Nhiệt Đới Trung ương 2 – cơ Đông Anh và cho kết quả dương tính với Covid 19. Bệnh nhân nhập viện Bệnh nhiệt đới Trung ương cơ sở 2, khoảng 21 giờ ngày 08/3/2020 và đã được bệnh viện lấy mẫu làm xét nghiệm COVID-19. Hiện bệnh nhân sức khỏe ổn định, đang được cách ly, theo dõi tại bệnh viện Bệnh nhiệt đới Trung ương. Xem thêm",legitimate
61,"MSB: Bạn vừa nhận được 2900.000 VND từ Nguyên. Số dư mới: 2900.0000 VND.",legitimate
62,"Phụ thuộc vào nơi bạn sẽ đi.",legitimate
63,"Kienlongbank: Bạn vừa nhận được 3900.000 VND từ Hải. Số dư mới: 3900.0000 VND.",legitimate
64,"Bạn có một gói quà tặng từ MB Securities, nhận ngay tại http://tcb17.vip. Đừng bỏ lỡ cơ hội này!",scam
65,"Soan ngay YB gui [NUMBER] de giai tri voi rat nhieu game cuc HOT. MIEN PHI den 7 ngay cho thue bao dang ky lan dau. Phi dv sau KM: [MONEY]/ngay va tu dong gia han. De soan tin nhan nhanh bam: https://tinyurl.com/5n7zehv7. CTLH [NUMBER] ([MONEY])",legitimate
66,"Quy khach dang thuc hien
Chuyen tien nhanh 247 den TK
Nguoi nhan: [NAME]
So tien: [MONEY]
Ma OTP: 869524 hieu luc [TIME]",legitimate
67,"Tại sao chúng ta lại nhắc đến mùa giải 2<PHONE>? Đơn giản bởi đó thực tế là mùa bóng gần nhất cho tới nay mà người ta được chứng kiến một cuộc đua Scudetto tay ba căng thẳng và gay cấn tới phút chót.",legitimate
68,"Một doanh nghiệp xuất khẩu gạo vừa đề nghị giải quyết khẩn cấp (lần 2) về vấn đề khai hải quan xuất khẩu 400.000 tấn gạo.
Sau khi Thủ tướng cho phép xuất khẩu 400.000 tấn gạo trong tháng 4, nhiều doanh nghiệp lại kêu cứu vì không xuất khẩu gạo được. Lý do hải quan cho mở tờ khai lúc nửa đêm.
Ông Phạm Thái Bình, Tổng Giám đốc Công ty Cổ phần Nông nghiệp Công nghệ cao Trung An (gọi tắt là Công ty Trung An), đã gửi đơn đề nghị Thủ tướng Chính phủ, Văn phòng Chính phủ, Bộ Công Thương, Tổng cục Hải quan, Hiệp hội Lương thực Việt Nam, UBND các tỉnh Đồng bằng sông Cửu Long…, xem xét, giải quyết gấp vấn đề khai hải quan xuất khẩu 400.000 tấn gạo trong tháng 4 để không phát sinh thêm thiệt hại không đáng có cho doanh nghiệp và toàn xã hội.",legitimate
69,"Hệ thống phát hiện giao dịch lạ, vui lòng xác minh tài khoản Kienlongbank của bạn tại http://support22.top để tránh bị khóa và bảo vệ tài sản của bạn.",scam
70,"(QC) MobiFone tặng bạn 1Gb Data thoải mái xem Clip, Phim Tết [NUMBER]. Soạn XNT3 gửi [NUMBER] đề đăng ký và duy trì DV mPlay 3 ngày để nhận thưởng. Miễn phí 1 ngày đầu, sau KM [MONEY]/gói/ngày. LH [NUMBER]. Từ chối QC, soạn TC gửi [NUMBER]",legitimate
